"collection_date","sp_name","species","sex","mean_ctmax","ctmax_se"
2024-02-23,"Limnocalanus macrurus","limnocalanus_macrurus","female",18.3486979166667,2.50286458333335
2024-02-23,"Senecella calanoides","senecella_calanoides","female",17.9429976851852,2.6982060185185
2024-02-27,"Leptodiaptomus sicilis","leptodiaptomus_sicilis","female",28.7334761721046,0.324385593561023
2024-02-27,"Limnocalanus macrurus","limnocalanus_macrurus","female",18.525462962963,NA
2024-02-27,"Senecella calanoides","senecella_calanoides","female",20.9451471560846,1.94094774364347
2024-03-04,"Leptodiaptomus minutus","leptodiaptomus_minutus","female",29.4444444444444,NA
2024-03-04,"Leptodiaptomus sicilis","leptodiaptomus_sicilis","female",28.1561397707231,0.45838505278781
2024-03-04,"Limnocalanus macrurus","limnocalanus_macrurus","female",23.1307093253968,0.465348888542008
2024-03-04,"Senecella calanoides","senecella_calanoides","female",22.7086805555555,0.339930555555551
2024-03-12,"Leptodiaptomus minutus","leptodiaptomus_minutus","female",29.3958333333333,NA
2024-03-12,"Leptodiaptomus sicilis","leptodiaptomus_sicilis","female",28.5921191419061,0.38065424001199
2024-03-12,"Limnocalanus macrurus","limnocalanus_macrurus","female",27.2135416666667,NA
2024-03-20,"Leptodiaptomus minutus","leptodiaptomus_minutus","female",29.4861111111111,0.3263888888889
2024-03-20,"Leptodiaptomus sicilis","leptodiaptomus_sicilis","female",27.2033626818783,0.749617143866242
2024-03-24,"Leptodiaptomus minutus","leptodiaptomus_minutus","female",28.599289021164,0.910927248422983
2024-03-24,"Leptodiaptomus sicilis","leptodiaptomus_sicilis","female",28.0347673160173,0.664015384703265
2024-03-24,"Senecella calanoides","senecella_calanoides","female",23.0568253968254,0.235196862332561
2024-03-30,"Leptodiaptomus minutus","leptodiaptomus_minutus","female",29.7545138888889,0.809564750863706
2024-03-30,"Leptodiaptomus sicilis","leptodiaptomus_sicilis","female",29.3246968694885,0.374420685560545
2024-04-21,"Leptodiaptomus minutus","leptodiaptomus_minutus","female",29.6917534722222,0.342674359191411
2024-04-21,"Leptodiaptomus sicilis","leptodiaptomus_sicilis","female",28.8697158840388,0.5586461087458
2024-04-21,"Limnocalanus macrurus","limnocalanus_macrurus","female",25.1479166666667,NA
2024-04-21,"Senecella calanoides","senecella_calanoides","female",22.0885416666667,0.11631944444445
2024-04-26,"Leptodiaptomus minutus","leptodiaptomus_minutus","female",28.6327539720118,0.408171664663027
2024-04-26,"Leptodiaptomus sicilis","leptodiaptomus_sicilis","female",30.0192456848707,0.290816933162984
2024-04-26,"Skistodiaptomus oregonensis","skistodiaptomus_oregonensis","female",29.1296296296296,NA
2024-05-02,"Leptodiaptomus minutus","leptodiaptomus_minutus","female",29.1926876653439,0.911741263955492
2024-05-02,"Leptodiaptomus sicilis","leptodiaptomus_sicilis","female",29.0030227873978,0.548301208953856
2024-05-02,"Skistodiaptomus oregonensis","skistodiaptomus_oregonensis","female",31.4166666666667,NA
2024-05-06,"Leptodiaptomus minutus","leptodiaptomus_minutus","female",29.8000019078144,0.302303827462971
2024-05-06,"Leptodiaptomus sicilis","leptodiaptomus_sicilis","female",28.9249650940623,0.939245942692772
2024-05-12,"Leptodiaptomus minutus","leptodiaptomus_minutus","female",29.8936103762493,0.332227982262866
2024-05-12,"Leptodiaptomus sicilis","leptodiaptomus_sicilis","female",29.7048611111111,0.5798611111111
2024-05-12,"Skistodiaptomus oregonensis","skistodiaptomus_oregonensis","female",32.2286458333333,0.924401551906245
2024-05-16,"Leptodiaptomus minutus","leptodiaptomus_minutus","female",30.882441979317,0.294163761997185
2024-05-16,"Skistodiaptomus oregonensis","skistodiaptomus_oregonensis","female",33.0451800514301,0.716326138728197
2024-05-20,"Leptodiaptomus minutus","leptodiaptomus_minutus","female",30.6957465277778,2.2599826388889
2024-05-20,"Skistodiaptomus oregonensis","skistodiaptomus_oregonensis","female",35.4109304728836,0.186793231704401
