"sp_name","parameter","correlation","p.value","ci_low","ci_high","sig","duration"
"Skistodiaptomus sp","min",0.757804726782311,1.51301902935158e-52,0.702489191819322,0.804019478767171,"Sig.",1
"Skistodiaptomus sp","range",0.1005573111796,0.0960765893973106,-0.0179400274364775,0.216268894772292,"Non Sig.",1
"Skistodiaptomus sp","var",0.0580178987148293,0.337788900264502,-0.060682494404294,0.175100212617125,"Non Sig.",1
"Epischura lacustris","max",0.857595326456413,1.22976210112619e-30,0.795853479936757,0.90168629531084,"Sig.",2
"Epischura lacustris","mean",0.859191296864309,7.29366768101451e-31,0.798066188262057,0.902813977987631,"Sig.",2
"Epischura lacustris","mean_max",0.855012850318302,2.8258594245389e-30,0.792276535840124,0.899860294859598,"Sig.",2
"Epischura lacustris","mean_min",0.846598832371012,3.81566838948368e-29,0.780652256539761,0.893900041418223,"Sig.",2
"Epischura lacustris","mean_range",0.139940598810694,0.160668928980855,-0.0560599663358228,0.325555523762332,"Non Sig.",2
"Epischura lacustris","med",0.85857196125087,8.9395803168291e-31,0.797207324266246,0.902376438313849,"Sig.",2
"Epischura lacustris","min",0.838650069642101,3.88050865360873e-28,0.76971249954972,0.888253956531012,"Sig.",2
"Epischura lacustris","range",0.185308307359357,0.0622317914242225,-0.00950928331293982,0.366572724594557,"Non Sig.",2
"Epischura lacustris","var",0.174676544971177,0.0791002340542036,-0.0204945561525102,0.357023288256879,"Non Sig.",2
"Leptodiaptomus minutus","max",0.738725226055493,4.05472449841165e-57,0.684893198617516,0.78453677620035,"Sig.",2
"Leptodiaptomus minutus","mean",0.733155867702473,7.2723168371883e-56,0.67838860214556,0.779820281342559,"Sig.",2
"Leptodiaptomus minutus","mean_max",0.738602666186671,4.3240939895714e-57,0.684749965416132,0.784433041543338,"Sig.",2
"Leptodiaptomus minutus","mean_min",0.724697810805836,5.08704315859261e-54,0.668526613400429,0.772647302015081,"Sig.",2
"Leptodiaptomus minutus","mean_range",0.139276740368942,0.0120890284009843,0.0307836818061582,0.244526123934584,"Sig.",2
"Leptodiaptomus minutus","med",0.732331041774413,1.1083283743396e-55,0.677425996154606,0.779121314403135,"Sig.",2
"Leptodiaptomus minutus","min",0.721890850109838,2.01161305258491e-53,0.665258092498162,0.770264108957403,"Sig.",2
"Leptodiaptomus minutus","range",0.120620798202328,0.0299527627509466,0.0118158725114212,0.226602807403657,"Sig.",2
"Leptodiaptomus minutus","var",0.107641430998836,0.0529063032122945,-0.00133444031546462,0.214090660151227,"Non Sig.",2
"Leptodiaptomus sicilis","max",0.246341254223493,4.27947870592504e-08,0.160559446659825,0.328429612066864,"Sig.",2
"Leptodiaptomus sicilis","mean",0.240530279823701,9.00736065474334e-08,0.154535734995952,0.322907719681678,"Sig.",2
"Leptodiaptomus sicilis","mean_max",0.246166903797235,4.37731736578583e-08,0.160378620307411,0.328264016768066,"Sig.",2
"Leptodiaptomus sicilis","mean_min",0.235577302616166,1.6734892193327e-07,0.149406473514886,0.318196709640248,"Sig.",2
"Leptodiaptomus sicilis","mean_range",0.126723758362364,0.00533343471463792,0.0378376059874568,0.213620356309353,"Sig.",2
"Leptodiaptomus sicilis","med",0.239140201342573,1.07324416171793e-07,0.153095713338533,0.321585962467733,"Sig.",2
